oid,owner,customer,short_name,long_name,description,tls_dv,tls_ov,tls_ev,tls_iv,codesigning_ov,codesigning_ev
0.4.0.1456.1.1,ETSI,,etsi-qcp,ETSI Qualified Certificate Policy,ETSI Qualified Certificate Policy (QCP),,,,,,
0.4.0.1456.1.1,ETSI,,etsi-qcp-plus,ETSI QCP Public + SSCD,ETSI (QCP+) QCP public + SSCD,,,,,,
0.4.0.1456.1.2,ETSI,,etsi-qcp-public,ETSI QCP Public,ETSI (QCP): QCP public,,,,,,
0.4.0.194112.1.0,ETSI,,etsi-qcp-n,ETSI QCP Natural Person,EU qualified certificates issued to natural persons,,,,,,
0.4.0.194112.1.1,ETSI,,etsi-qcp-l,ETSI QCP Legal Person,ETSI (QCP-l): EU qualified certificates issued to legal persons,,,,,,
0.4.0.194112.1.2,ETSI,,etsi-qcp-n-qscd,ETSI QCP Natural  key in QSCD,EU qualified certificates issued to natural persons with private key related to the certified public key in a QSCD,,,,,,
0.4.0.194112.1.3,ETSI,,etsi-qcp-l-qscd,ETSI QCP Legal key in QSCD,EU qualified certificates issued to legal persons with private key related to the certified public key in a QSCD,,,,,,
0.4.0.194112.1.4,ETSI,,etsi-qcp-w,ETSI QCP Web,EU qualified web site authentication certificates,,,,,,
0.4.0.2042.1.1,ETSI,,etsi-ncp,Advanced Certificate Policy (Individual or Professional),,,,,,,
0.4.0.2042.1.2,ETSI,,etsi-ncp-plus,ETSI NCP+,ETSI (NCP+): Advanced Certificate Policy issued on cryptographic device,,,,,,
0.4.0.2042.1.4,ETSI,,etsi-ev,ETSI Extended Validation Policy,,,,TRUE,,,
0.4.0.2042.1.5,ETSI,,etsi-ev-evcp-plus,ETSI EV requiring a secure user device (EVCP+),,,,TRUE,,,
0.4.0.2042.1.6,ETSI,,etsi-tls-dv,ETSI SSL DV,ETSI TLS/SSL Certificate Policy with Domain validation,,,,,,
0.4.0.2042.1.7,ETSI,,etsi-tls-ov,ETSI SSL OV,ETSI TLS/SSL Certificate Policy with Organization validation,,,,,,
1.2.156.112559.1.1.1.1,GDCA,,gdca-type-i-individual,GDCA Type I individual,,,,,,,
1.2.156.112559.1.1.1.2,GDCA,,gdca-type-ii-individual,GDCA Type II individual,,,,,,,
1.2.156.112559.1.1.1.3,GDCA,,gdca-type-iii-individual,GDCA Type III individual,,,,,,,
1.2.156.112559.1.1.1.4,GDCA,,gdca-type-iv-individual,GDCA Type IV individual,,,,,,,
1.2.156.112559.1.1.2.1,GDCA,,gdca-type-iii-organization,GDCA Type III organization,,,,,,,
1.2.156.112559.1.1.2.2,GDCA,,gdca-type-iv-organization,GDCA  Type IV organization,,,,,,,
1.2.156.112559.1.1.3.1,GDCA,,gdca-requipment,GDCA Equipment,,,,,,,
1.2.156.112559.1.1.4.1,GDCA,,gdca-ssl-ov,GDCA SSL OV,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1.2.156.112559.1.1.4.2,GDCA,,gdca-ssl-iv,GDCA SSL IV,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1.2.156.112559.1.1.4.3,GDCA,,gdca-ssl-dv,GDCA SSL DV,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1.2.156.112559.1.1.5.1,GDCA,,gdca-code-signing,GDCA General CodeSigning ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1.2.156.112559.1.1.6.1,GDCA,,gdca-ssl-ev,GDCA SSL EV,,,,,,,
1.2.156.112559.1.1.7.1,GDCA,,gdca-code-ev,GDCA Code Signing EV,,,,,,,
1.2.156.112570.1.1.3,Sheca,,sheca-ev,Sheca EV,,,,,,,
1.2.392.200091.100.721.1,SECOM Trust Systems,,secom-trust-systems,SECOM Trust Systems,,,,TRUE,,,
1.2.40.0.17.1.22,A-Trust,,a-trust-nqual-03-ev,A-Trust-nQual-03 EV,,,,TRUE,,,
1.3.159.1.17.1,Actalis,,acatalis,Actalis Authentication Root CA,,,,,,,
1.3.6.1.4.1.11129.2.5.1,Google,,google-g2,Google Internet Authority G2,,TRUE,,,,,
1.3.6.1.4.1.11129.2.5.3,Google,,google-g3,Google Trust Services,,TRUE,,,,,
1.3.6.1.4.1.13177.10.1.3.10,Firmaprofesional,,firmaprofesional-ev,Firmaprofesional,,,,TRUE,,,
